File_Name,Text_Data
24136.6.txt,"{'POSITIVE SCORE': 0.050256064690026955, 'NEGATIVE SCORE': 0.44581311769991006, 'POLARITY SCORE': 0.050256064690026955, 'SUBJECTIVITY SCORE': 0.44581311769991006, 'AVG SENTENCE LENGTH': 24.86046511627907, 'PERCENTAGE OF COMPLEX WORDS': 74.07732864674868, 'FOG INDEX': 39.575117505211104, 'AVG NUMBER OF WORDS PER SENTENCE': 26.46511627906977, 'COMPLEX WORD COUNT': 843, 'WORD COUNT': 1138, 'SYLLABLES PER WORD': 1.6001757469244289, 'PERSONAL PRONOUNS': 9, 'AVG WORD LENGTH': 4.877855887521968}"
24598.4.txt,"{'POSITIVE SCORE': 0.061760000000000016, 'NEGATIVE SCORE': 0.3626019047619048, 'POLARITY SCORE': 0.061760000000000016, 'SUBJECTIVITY SCORE': 0.3626019047619048, 'AVG SENTENCE LENGTH': 23.41891891891892, 'PERCENTAGE OF COMPLEX WORDS': 70.72419106317412, 'FOG INDEX': 37.657243992837216, 'AVG NUMBER OF WORDS PER SENTENCE': 26.31081081081081, 'COMPLEX WORD COUNT': 1377, 'WORD COUNT': 1947, 'SYLLABLES PER WORD': 1.6507447354904983, 'PERSONAL PRONOUNS': 22, 'AVG WORD LENGTH': 5.047252182845403}"
25060.2.txt,"{'POSITIVE SCORE': 0.09361824683253255, 'NEGATIVE SCORE': 0.5180851748983615, 'POLARITY SCORE': 0.09361824683253255, 'SUBJECTIVITY SCORE': 0.5180851748983615, 'AVG SENTENCE LENGTH': 27.5, 'PERCENTAGE OF COMPLEX WORDS': 75.01323451561673, 'FOG INDEX': 41.0052938062467, 'AVG NUMBER OF WORDS PER SENTENCE': 29.515625, 'COMPLEX WORD COUNT': 1417, 'WORD COUNT': 1889, 'SYLLABLES PER WORD': 1.470619375330863, 'PERSONAL PRONOUNS': 21, 'AVG WORD LENGTH': 4.6241397564849125}"
25522.txt,"{'POSITIVE SCORE': -0.023134028892455843, 'NEGATIVE SCORE': 0.36003879079721784, 'POLARITY SCORE': -0.023134028892455843, 'SUBJECTIVITY SCORE': 0.36003879079721784, 'AVG SENTENCE LENGTH': 17.686746987951807, 'PERCENTAGE OF COMPLEX WORDS': 71.96149217809868, 'FOG INDEX': 35.859295666420195, 'AVG NUMBER OF WORDS PER SENTENCE': 20.02409638554217, 'COMPLEX WORD COUNT': 1196, 'WORD COUNT': 1662, 'SYLLABLES PER WORD': 1.474127557160048, 'PERSONAL PRONOUNS': 31, 'AVG WORD LENGTH': 4.591456077015644}"
25983.8.txt,"{'POSITIVE SCORE': 0.2261337868480726, 'NEGATIVE SCORE': 0.49278955171812316, 'POLARITY SCORE': 0.2261337868480726, 'SUBJECTIVITY SCORE': 0.49278955171812316, 'AVG SENTENCE LENGTH': 14.206349206349206, 'PERCENTAGE OF COMPLEX WORDS': 71.21212121212122, 'FOG INDEX': 34.16738816738817, 'AVG NUMBER OF WORDS PER SENTENCE': 15.714285714285714, 'COMPLEX WORD COUNT': 705, 'WORD COUNT': 990, 'SYLLABLES PER WORD': 1.4464646464646465, 'PERSONAL PRONOUNS': 1, 'AVG WORD LENGTH': 4.456565656565656}"
26445.6.txt,"{'POSITIVE SCORE': 0.2516339869281046, 'NEGATIVE SCORE': 0.41437908496732034, 'POLARITY SCORE': 0.2516339869281046, 'SUBJECTIVITY SCORE': 0.41437908496732034, 'AVG SENTENCE LENGTH': 21.953846153846154, 'PERCENTAGE OF COMPLEX WORDS': 69.29879974731521, 'FOG INDEX': 36.50105836046455, 'AVG NUMBER OF WORDS PER SENTENCE': 24.353846153846153, 'COMPLEX WORD COUNT': 1097, 'WORD COUNT': 1583, 'SYLLABLES PER WORD': 1.4396715097915351, 'PERSONAL PRONOUNS': 7, 'AVG WORD LENGTH': 4.424510423246999}"
26907.4.txt,"{'POSITIVE SCORE': 0.2375180375180375, 'NEGATIVE SCORE': 0.4895773208273211, 'POLARITY SCORE': 0.2375180375180375, 'SUBJECTIVITY SCORE': 0.4895773208273211, 'AVG SENTENCE LENGTH': 30.0, 'PERCENTAGE OF COMPLEX WORDS': 69.46564885496184, 'FOG INDEX': 39.78625954198474, 'AVG NUMBER OF WORDS PER SENTENCE': 32.75, 'COMPLEX WORD COUNT': 364, 'WORD COUNT': 524, 'SYLLABLES PER WORD': 1.5190839694656488, 'PERSONAL PRONOUNS': 8, 'AVG WORD LENGTH': 4.646946564885496}"
27369.2.txt,"{'POSITIVE SCORE': 0.06018412508544089, 'NEGATIVE SCORE': 0.48409456771298853, 'POLARITY SCORE': 0.06018412508544089, 'SUBJECTIVITY SCORE': 0.48409456771298853, 'AVG SENTENCE LENGTH': 22.9, 'PERCENTAGE OF COMPLEX WORDS': 72.41379310344827, 'FOG INDEX': 38.125517241379306, 'AVG NUMBER OF WORDS PER SENTENCE': 25.271428571428572, 'COMPLEX WORD COUNT': 1281, 'WORD COUNT': 1769, 'SYLLABLES PER WORD': 1.6156020350480498, 'PERSONAL PRONOUNS': 8, 'AVG WORD LENGTH': 5.023176936122103}"
27831.txt,"{'POSITIVE SCORE': 0.017201405152224822, 'NEGATIVE SCORE': 0.6364220660941972, 'POLARITY SCORE': 0.017201405152224822, 'SUBJECTIVITY SCORE': 0.6364220660941972, 'AVG SENTENCE LENGTH': 14.2, 'PERCENTAGE OF COMPLEX WORDS': 71.95671776375113, 'FOG INDEX': 34.46268710550046, 'AVG NUMBER OF WORDS PER SENTENCE': 15.842857142857143, 'COMPLEX WORD COUNT': 798, 'WORD COUNT': 1109, 'SYLLABLES PER WORD': 1.5067628494138863, 'PERSONAL PRONOUNS': 10, 'AVG WORD LENGTH': 4.812443642921551}"
28292.8.txt,"{'POSITIVE SCORE': 0.34529320987654327, 'NEGATIVE SCORE': 0.6706569664902996, 'POLARITY SCORE': 0.34529320987654327, 'SUBJECTIVITY SCORE': 0.6706569664902996, 'AVG SENTENCE LENGTH': 14.602564102564102, 'PERCENTAGE OF COMPLEX WORDS': 71.98105761641673, 'FOG INDEX': 34.633448687592335, 'AVG NUMBER OF WORDS PER SENTENCE': 16.243589743589745, 'COMPLEX WORD COUNT': 912, 'WORD COUNT': 1267, 'SYLLABLES PER WORD': 1.4017363851617994, 'PERSONAL PRONOUNS': 5, 'AVG WORD LENGTH': 4.374112075769534}"
28754.6.txt,"{'POSITIVE SCORE': 0.09966213151927443, 'NEGATIVE SCORE': 0.43907282400139547, 'POLARITY SCORE': 0.09966213151927443, 'SUBJECTIVITY SCORE': 0.43907282400139547, 'AVG SENTENCE LENGTH': 26.711111111111112, 'PERCENTAGE OF COMPLEX WORDS': 78.95944912012241, 'FOG INDEX': 42.26822409249341, 'AVG NUMBER OF WORDS PER SENTENCE': 29.044444444444444, 'COMPLEX WORD COUNT': 1032, 'WORD COUNT': 1307, 'SYLLABLES PER WORD': 1.5003825554705432, 'PERSONAL PRONOUNS': 4, 'AVG WORD LENGTH': 4.857689364957919}"
2893.8.txt,"{'POSITIVE SCORE': 0.03834507042253521, 'NEGATIVE SCORE': 0.467905466989974, 'POLARITY SCORE': 0.03834507042253521, 'SUBJECTIVITY SCORE': 0.467905466989974, 'AVG SENTENCE LENGTH': 18.076923076923077, 'PERCENTAGE OF COMPLEX WORDS': 75.93869731800767, 'FOG INDEX': 37.6062481579723, 'AVG NUMBER OF WORDS PER SENTENCE': 20.076923076923077, 'COMPLEX WORD COUNT': 991, 'WORD COUNT': 1305, 'SYLLABLES PER WORD': 1.656704980842912, 'PERSONAL PRONOUNS': 3, 'AVG WORD LENGTH': 5.146360153256705}"
29216.4.txt,"{'POSITIVE SCORE': 0.08752749982258179, 'NEGATIVE SCORE': 0.3081417216663119, 'POLARITY SCORE': 0.08752749982258179, 'SUBJECTIVITY SCORE': 0.3081417216663119, 'AVG SENTENCE LENGTH': 17.876543209876544, 'PERCENTAGE OF COMPLEX WORDS': 69.58887545344619, 'FOG INDEX': 34.986167465329096, 'AVG NUMBER OF WORDS PER SENTENCE': 20.419753086419753, 'COMPLEX WORD COUNT': 1151, 'WORD COUNT': 1654, 'SYLLABLES PER WORD': 1.626360338573156, 'PERSONAL PRONOUNS': 13, 'AVG WORD LENGTH': 4.78174123337364}"
